Name,file_name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
COS4_04519,COS4_04519_K.fits,0.4128255897682735,0.4259647566702145,0.4389989122853809,0.15152159326615533,0.1627919453178271,0.17401207199626578
COS4_05656,COS4_05656_YJ.fits,0.39362806661109173,0.39839435227935427,0.4031321497464548,0.14611523152537906,0.1501049897300448,0.1540121196388184
COS4_06487,COS4_06487_YJ.fits,0.5162785811232433,0.5354770832651158,0.5549667127331677,0.1182053091758409,0.13233221581983834,0.14630831419330312
COS4_07901,COS4_07901_YJ.fits,0.854723575714305,0.8773136808474058,0.9006464307481834,0.06940863640999675,0.08142275573102192,0.09332256371245364
COS4_08775,COS4_08775_K.fits,1.0142490233394974,1.0725039438231359,1.1391835821542131,-0.022040793654283863,0.0015183568665482667,0.024198349919311628
COS4_10344,COS4_10344_H.fits,0.4562684546153617,0.47371752778627474,0.49197448890079803,0.15952711788929266,0.17738566950039064,0.19482342412535467
COS4_11696,COS4_11696_H.fits,0.41052974038919465,0.41787225898470876,0.4251802712250248,0.18855248397360191,0.19616249690670307,0.20374607087274985
COS4_12056,COS4_12056_H.fits,0.4536054418342254,0.46776016260650033,0.48221199408691945,0.13870215326817825,0.15195904881587052,0.16500039268609468
COS4_12476,COS4_12476_H.fits,0.5337540322946043,0.5521366571899999,0.5713962159289951,0.13070208330708882,0.14705311888791864,0.16330440225219012
COS4_13038,COS4_13038_H.fits,0.637427849272671,0.648327613479292,0.6593014821170529,0.125394653883683,0.13387902133152468,0.14227654375501286
COS4_13701,COS4_13701_K.fits,0.7009965828307565,0.7139481895965485,0.7272575793132147,0.08891503863385772,0.09650569393800745,0.104017750448143
COS4_15820,COS4_15820_K.fits,0.9373460225945318,0.9819655143431746,1.0315044362386898,0.024914264242470764,0.033337978218552146,0.04170711913298184
COS4_16172,COS4_16172_YJ.fits,0.8871291175105162,0.906933238824339,0.9270426372350765,0.054340902860953555,0.06360774927153423,0.07278887424002743
COS4_16986,COS4_16986_YJ.fits,0.2050725733334923,0.2119579632743663,0.2190582487768141,0.21798851496202618,0.22852485829509123,0.23869056137429043
COS4_17162,COS4_17162_H.fits,0.5312372956059913,0.5436572497662985,0.5559369386454166,0.13808577787847337,0.14770979757234148,0.15735035763513178
COS4_17519,COS4_17519_H.fits,0.39214456694340144,0.4007011821850583,0.4093491234131988,0.22043090863176282,0.2307342283699052,0.24080051694456805
COS4_17628,COS4_17628_YJ.fits,0.7356897887852116,0.7477995370323448,0.7600631952602818,0.11733799042096003,0.12617313420806886,0.13487225407697526
COS4_17657,COS4_17657_YJ.fits,0.6112666788636756,0.6265975377649615,0.642080372295586,0.12596378563795188,0.13957834316535025,0.15301043691583127
COS4_17808,COS4_17808_H.fits,0.6010862640153773,0.6165266788782677,0.6325031172462389,0.13251778017020643,0.14465521273679094,0.15657432217947675
COS4_18064,COS4_18064_H.fits,0.5842124517955649,0.6108524007897678,0.638203059568513,0.11097396893942583,0.13249195702719668,0.15353520806239032
COS4_18435,COS4_18435_H.fits,0.624152520375416,0.6386216006506937,0.6531960858996887,0.11726092416781457,0.12606727037746873,0.13492376739409775
COS4_18969,COS4_18969_H.fits,0.7406248691629111,0.7541705152477015,0.7676738945598256,0.10785613694949814,0.11655799690193117,0.1252821018125807
COS4_19066,COS4_19066_YJ.fits,0.6474477411985261,0.6690123127988832,0.6908398333642791,0.0753280426648036,0.08524615274548286,0.09514329679333486
COS4_19648,COS4_19648_YJ.fits,0.6291863642349935,0.6463722084928379,0.6636125025135244,0.19126244564521697,0.2122017256922176,0.2328632889142097
COS4_19667,COS4_19667_YJ.fits,0.5150490748950051,0.5330898516605562,0.551921128892364,0.11777711505400745,0.13111999709517663,0.14428082641023626
COS4_19680,COS4_19680_K.fits,0.5622034694933681,0.5712685929497128,0.5803835894718733,0.11326201398371012,0.11798740201267278,0.12269901875501449
COS4_20449,COS4_20449_H.fits,0.7697177087755528,0.7860913437433794,0.8030689006805526,0.10359695809282503,0.11264286930252349,0.12147352038276671
COS4_20595,COS4_20595_H.fits,0.4660165795349975,0.48068838036570555,0.49552973101018966,0.17909282477991875,0.19498400684462294,0.2105549888812211
COS4_21570,COS4_21570_K.fits,0.6608233079734914,0.6836424650048227,0.7077088405128291,0.09096671693261538,0.10524669943318699,0.11926375504073333
COS4_23070,COS4_23070_YJ.fits,0.5444558822672924,0.5560121328853793,0.5677472183736326,0.15531595800250098,0.1679994780881362,0.1805355203903274
COS4_23890,COS4_23890_YJ.fits,0.7655990083845075,0.7823203426178863,0.7997906336452385,0.12857614746672322,0.14708983665081554,0.16526416053848744
COS4_24738,COS4_24738_H.fits,0.5127719437618261,0.5286523989905265,0.5450517748939747,0.14663794021264745,0.16193186523726316,0.176722994456592
GS4_00984,GS4_00984_YJ.fits,0.5558906265563808,0.5727297892078321,0.5899353368002105,0.07858974875056521,0.09127558640909936,0.10382653719681617
GS4_01962,GS4_01962_H.fits,0.508871938321745,0.5253284779929547,0.54204190713719,0.12472923179614004,0.13928632050553386,0.15354664570711832
GS4_05881,GS4_05881_YJ.fits,0.6538792122979319,0.6652279554976559,0.6766001631117136,0.1560338456711255,0.16960125365476952,0.18311176483232136
GS4_09989,GS4_09989_YJ.fits,0.39983358573203187,0.4113886540437424,0.4231244267050309,0.18969193735059647,0.20643303070355762,0.22253638417228858
GS4_10566,GS4_10566_YJ.fits,0.4316627744710907,0.4489342954154756,0.46655554723472287,0.15748014375468813,0.1779302990347404,0.19780426199154177
GS4_10784,GS4_10784_H.fits,0.5006907540526748,0.5202791009129872,0.5406225640330252,0.1673417358232721,0.18944314660166683,0.21082035413624525
GS4_15836,GS4_15836_H.fits,0.3899285484442662,0.40382927388290035,0.4181350806151838,0.1580662416678379,0.1718259820570916,0.18532082961750962
GS4_16776,GS4_16776_H.fits,0.5285046855826367,0.5378034872207436,0.5470695868350195,0.13126252707641667,0.13918933486344578,0.14704444057279636
GS4_16814,GS4_16814_H.fits,0.6235953785241968,0.6364499715070424,0.6493947932455264,0.11012106673012301,0.11966578895616128,0.12891159302254013
GS4_17069,GS4_17069_YJ.fits,0.46048061548247354,0.4719465724169073,0.4834867120387028,0.18206593720650158,0.1929694085267054,0.20380559361581282
GS4_20651,GS4_20651_H.fits,0.40887665297057135,0.4196987866831222,0.4306439737096123,0.17312108398049272,0.18770284785974034,0.2019180385566302
GS4_24110,GS4_24110_K.fits,0.8310608083746199,0.8575790582636577,0.8854259240010566,0.11549093295746878,0.13675890590494866,0.1575109882475471
GS4_27230,GS4_27230_H.fits,0.32265436183541985,0.33383983733037526,0.34522446091465886,0.23470476044993283,0.24964319781023864,0.2643318409801839
GS4_29868,GS4_29868_K.fits,0.5660944469642971,0.5910368177070647,0.6174341533205606,0.08101244406901527,0.09714718714478773,0.11294511136697641
GS4_30274,GS4_30274_K.fits,0.3209931622546923,0.33415502807373654,0.3477212797260718,0.165768521136902,0.1847267065061975,0.2026974291159064
GS4_33103,GS4_33103_YJ.fits,1.3649523561466157,1.507025399091396,1.660933064548423,-0.2099486785827816,-0.18949364589142456,-0.16492780592605738
GS4_33234,GS4_33234_YJ.fits,0.7530552556816204,0.7887134923026409,0.8264447862853256,0.0484942248637562,0.06393421251760481,0.07925887522027086
GS4_33496,GS4_33496_H.fits,0.9534886778760842,0.9879385254150397,1.0250001634295651,0.0501412839480191,0.061115151855240295,0.07215859091156397
GS4_35937,GS4_35937_K.fits,0.7824336768837802,0.8146452563667856,0.8491628720025965,0.04149119962100691,0.054134422176953245,0.06685850723388521
GS4_37124,GS4_37124_K.fits,0.5829627770815845,0.6397041009066792,0.703463249649686,-0.04081020129869181,0.0012971071803641945,0.042553620032156035
GS4_41438,GS4_41438_K.fits,0.6424058376653135,0.6567190719316947,0.6713663636390791,0.1048579457500153,0.1119449351426936,0.11902533748274491
GS4_42235,GS4_42235_K.fits,0.5790270680736818,0.6012704637791979,0.6242034362888558,0.07133348557694286,0.08208972778682938,0.09278854990930675
GS4_43501,GS4_43501_H.fits,0.7545683679683047,0.7672942906760849,0.7803606705715114,0.09035863825659314,0.09702017255281006,0.10368801871772347
GS4_43891,GS4_43891_YJ.fits,0.9006397854260728,0.9384137478026359,0.9801291582412447,0.022371170255412912,0.04177575125877016,0.06049913168969569
U4_06203,U4_06203_YJ.fits,0.875429321629451,0.8924612681445064,0.9096141028016529,0.06648760184824919,0.07259893569558643,0.07883318644300143
U4_07799,U4_07799_YJ.fits,1.5478853920152404,1.6591202005248555,1.7364765379245533,-0.02531905628167315,-0.019598065352273666,-0.01346374366749258
U4_10403,U4_10403_H.fits,0.427909169971103,0.43388314156962726,0.4398380903327408,0.19577121749828913,0.20294884244293138,0.21005960925835174
U4_12280,U4_12280_YJ.fits,0.4152508326060228,0.42470561780122784,0.4338991532231889,0.15531252211658683,0.16367266082579895,0.17198665410479438
U4_16101,U4_16101_H.fits,0.24000631595843344,0.24993636847193046,0.26033890491743844,0.20446595150997837,0.21798296866668893,0.23084368258935253
U4_18696,U4_18696_YJ.fits,0.5007420546305985,0.5098552902971704,0.519051581068536,0.17065466670029375,0.18007444288903923,0.18940526932955612
U4_19575,U4_19575_YJ.fits,0.48904212921975304,0.4969480062268751,0.5048151623378931,0.16365440534729633,0.17199051540078325,0.18016159383069755
U4_19708,U4_19708_H.fits,0.7153489575694261,0.7310327725282462,0.747015143171827,0.09139897089148484,0.10294124552547576,0.11443688673980919
U4_20987,U4_20987_YJ.fits,0.7220212911022863,0.7428995104755329,0.7647382005773604,0.06675133660213853,0.0813906582765404,0.09565393599660622
U4_21424,U4_21424_H.fits,0.6301582568897608,0.6517800382733745,0.6749535865621898,0.13774624724948628,0.16249875161549118,0.18645412283502968
U4_21533,U4_21533_YJ.fits,0.48050381104860845,0.4915630299423317,0.5031506137443642,0.09636558719342202,0.11742886762092608,0.13752305966179956
U4_22575,U4_22575_H.fits,0.4421796932062735,0.45071774411231436,0.45945290149924073,0.2277613893631259,0.24291058320099113,0.25743137979543396
U4_25158,U4_25158_H.fits,0.3842718672327732,0.395708859619182,0.4073057093616661,0.18643122090770872,0.1992650011454402,0.21174949282117886
U4_25264,U4_25264_H.fits,0.5278136277169513,0.5392634210916536,0.5506508251896304,0.13964925373540027,0.1463018859595499,0.15302048767833035
U4_26264,U4_26264_K.fits,0.5080572095588555,0.5227140756423446,0.5375680929921268,0.09401231033293249,0.10252865946823461,0.1109983043350601
U4_26875,U4_26875_H.fits,0.24732287570046202,0.25566974841333084,0.264162549887737,0.27835484584414516,0.296650441756916,0.31411756799452084
U4_28358,U4_28358_H.fits,0.3892651412050784,0.4010263755779765,0.41331845089439034,0.17764481259074597,0.1928070071063741,0.2074543698261592
U4_28931,U4_28931_H.fits,0.7262203340093158,0.7446491500810604,0.763310944447903,0.08720606081435993,0.09598536016590678,0.10478062793811939
U4_30029,U4_30029_H.fits,0.2997135255078819,0.3098822510821088,0.3202527321955601,0.214044021608493,0.2277552587594843,0.24074882431667272
U4_31577,U4_31577_H.fits,0.5626914265081039,0.5717562393438331,0.5808592460624334,0.16724964983779594,0.1768099307344697,0.18635491387655373
U4_32491,U4_32491_YJ.fits,1.0173306937861453,1.040328924774527,1.0644426028896794,0.04370959140988905,0.048608425918295714,0.05354171454004727
U4_33182,U4_33182_YJ.fits,0.6090919376644416,0.6280963654264564,0.6482908319289452,0.07072903157805392,0.08855210559891548,0.10563644378847362
U4_34173,U4_34173_YJ.fits,0.7383774369736009,0.7569170889475695,0.7755562639996296,0.11145058350182786,0.12446673003550987,0.1375153830414948
U4_34545,U4_34545_YJ.fits,0.5067985759142773,0.5176751928429573,0.5285504449540226,0.1563515553329353,0.1663868343504402,0.17664865013810863
U4_36227,U4_36227_YJ.fits,0.4747787477641464,0.4868223505891218,0.49898330100068117,0.15795746703502833,0.1721228735870733,0.18618842616616021
U4_39208,U4_39208_H.fits,0.35642137009574415,0.3681372282646209,0.3804373847887491,0.21269041384730392,0.23054901080372214,0.2476724780512783
